COMPANY NAME,CITY,STATE,ZIP CODE,STREET ADDRESS CITY,STREET ADDRESS,STREET ADDRESS ZIP,COUNTY,PHONE NUMBER,FAX NUMBER,WEB ADDRESS,LAST NAME,FIRST NAME,CONTACT TITLE,CONTACT GENDER,ACTUAL EMPLOYEE SIZE,EMPLOYEE SIZE RANGE,ACTUAL SALES VOLUME,SALES VOLUME RANGE,Industry,PRIMARY SIC,PRIMARY SIC DESCRIPTION,SECONDARY SIC #1,SECONDARY SIC DESCRIPTION #1,SECONDARY SIC #2,SECONDARY SIC DESCRIPTION #2,CREDIT ALPHA SCORE,CREDIT NUMERIC SCORE,HEADQUARTERS/BRANCH,SQUARE FOOTAGE
Purity Dairies Inc,Nashville,TN,37224-0957,Nashville,360 Murfreesboro Rd,37210-2816,Davidson,6.15E+09,6.15E+09,www.puritydairies.com,Ezell,Mark,President,Male,27030,10000+,0.00E+00,,Manufacturing,202698,Fluid Milk (Manufacturers),202498,Ice Cream & Frozen Desserts (Mfrs),545101,Dairy Products-Retail,A+,100,Subsidiary,"40,000+"
Timken Co,Canton,OH,44706-2798,Canton,1835 Dueber Ave SW,44706-2798,Stark,3.30E+09,3.30E+09,www.timken.com,Griffith,James W,CEO,Male,27000,10000+,5.17E+09,Over $1 Billion,Manufacturing,356201,Bearings-Manufacturers,331298,Steel Works/Blast Furnaces/Rolling Mls,331601,"Steel-Bar, Sheet, Strip, Tube Etc (Mfrs)",A+,100,Headquarter,"40,000+"
Cooper Industries LTD,Houston,TX,77210-4446,600 Travis St # 5800,Houston,77002-3008,Harris,7.13E+09,7.13E+09,www.cooperindustries.com,Hachigian,Kirk S,CEO,Male,26863,10000+,4.06E+09,Over $1 Billion,Manufacturing,364398,Current-Carrying Wiring Devices (Mfrs),342302,Tools-Manufacturers,353198,Construction Machinery & Equip (Mfrs),A+,100,Headquarter,"40,000+"
Archer Daniels Midland Co,Decatur,IL,62525-1820,Decatur,4666 E Faries Pkwy,62526-5666,Macon,2.17E+09,2.17E+09,www.admworld.com,Andreas,G Allen,CEO,Male,26317,10000+,3.62E+10,Over $1 Billion,Manufacturing,207403,Oil Seeds (Manufacturers),13901,Agricultural Products,72398,Crop Preparation Services For Market,A+,100,Headquarter,"40,000+"
Pohang Steel America Corp,Fort Lee,NJ,07024-3307,Fort Lee,2 Executive Dr # 805,07024-3307,Bergen,2.02E+09,2.02E+09,www.posam.com,Shin,Sy,President,Male,26177,10000+,3.03E+08,$100 - 500 Million,Manufacturing,331201,Steel Mills,331201,Steel Mills,509905,Importers,A+,96,Headquarter,"2,500 - 9,999"
Nike Inc,Beaverton,OR,97005-6453,Beaverton,1 Bowerman Dr,97005-6453,Washington,5.04E+09,5.04E+09,www.nike.com,Parker,Mark G,CEO,Male,26000,10000+,1.37E+10,Over $1 Billion,Manufacturing,302198,Rubber & Plastics-Footwear (Mfrs),232902,Sportswear-Mens-Manufacturers,233998,Women's Misses/Jrs Outerwear Nec (Mfrs),A+,100,Headquarter,"40,000+"
Becton Dickinson & Co,Franklin Lakes,NJ,07417-1880,Franklin Lakes,1 Becton Dr,07417-1880,Bergen,2.02E+09,,www.bd.com,Ludwig,Edward J,CEO,Male,25571,10000+,5.41E+09,Over $1 Billion,Manufacturing,384104,Physicians & Surgeons Equip & Supls-Mfrs,283398,Medicinal Chem/Botanical Prods (Mfrs),283404,Drug Millers,A+,100,Headquarter,"40,000+"
Sara Lee Bakery Group Inc,St Louis,MO,63118-0830,St Louis,8400 Maryland Ave,63105-3647,St Louis,3.14E+09,3.14E+09,www.earthgrains.com,Noll,Richard A,CEO,Male,25300,10000+,3.28E+09,Over $1 Billion,Manufacturing,205198,Bread/Other Bakery Prod-Ex Cookies (Mfr),205198,Bread/Other Bakery Prod-Ex Cookies (Mfr),514902,Bakers-Wholesale,A+,100,Subsidiary,"40,000+"
Kellogg Co,Battle Creek,MI,49017-3534,Battle Creek,1 Kellogg Sq,49017-3534,Calhoun,2.70E+09,2.70E+09,www.kelloggs.com,Jenness,James M,CEO,Male,25000,10000+,9.61E+09,Over $1 Billion,Manufacturing,204301,Cereals (Manufacturers),203298,Canned Specialties (Manufacturers),203302,Canning (Manufacturers),A+,100,Headquarter,"40,000+"
Bunge LTD,White Plains,NY,10606-1901,White Plains,50 Main St,10606-1901,Westchester,9.15E+09,9.15E+09,www.bunge.com,Weisser,Alberto,CEO,Male,24621,10000+,2.52E+10,Over $1 Billion,Manufacturing,207403,Oil Seeds (Manufacturers),207403,Oil Seeds (Manufacturers),,,A+,100,Headquarter,"40,000+"
Amkor Technology Inc,Chandler,AZ,85248-1604,Chandler,1900 S Price Rd,85248-1604,Maricopa,4.81E+09,4.81E+09,www.amkor.com,Kim,James J,CEO,Male,24000,10000+,2.10E+09,Over $1 Billion,Manufacturing,367401,Semiconductor Devices (Manufacturers),367401,Semiconductor Devices (Manufacturers),,,A+,100,Headquarter,"40,000+"
Campbell Soup Co,Camden,NJ,08103-1799,Camden,1 Campbell Pl,08103-1799,Camden,8.56E+09,8.56E+09,www.campbellsoup.com,Conant,Douglas R,CEO,Male,24000,10000+,7.55E+09,Over $1 Billion,Manufacturing,203298,Canned Specialties (Manufacturers),203298,Canned Specialties (Manufacturers),203302,Canning (Manufacturers),A+,100,Headquarter,"40,000+"
Matsushita Electric Corp-Amer,Secaucus,NJ,07094-2917,Secaucus,1 Panasonic Way,07094-2917,Hudson,2.01E+09,2.01E+09,www.panasonic.com,Iwatani,Don,CEO,Male,24000,10000+,6.37E+10,Over $1 Billion,Manufacturing,367498,Semiconductors & Related Devices (Mfrs),365198,Household Audio/Video Equipment (Mfrs),365298,Phonograph Record/Prerecorded Tape (Mfr),A+,100,Headquarter,"40,000+"
Pilkington Holdings Inc,Toledo,OH,43697-0799,Toledo,811 Madison Ave,43624-1684,Lucas,4.19E+09,4.19E+09,www.pilkington.com,Knowlton,Warren D,CEO,Male,23900,10000+,0.00E+00,,Manufacturing,321101,Glass-Manufacturers,321101,Glass-Manufacturers,385198,Ophthalmic Goods-Manufacturers,A+,96,Headquarter,"40,000+"
Estee Lauder Co Inc,New York,NY,10153-0003,New York,767 5th Ave,10153-0003,New York,2.13E+09,2.13E+09,www.elcompanies.com,Lauder,William P,CEO,Male,23700,10000+,6.34E+09,Over $1 Billion,Manufacturing,284405,Cosmetics-Manufacturers,284405,Cosmetics-Manufacturers,512204,Cosmetics-Wholesale,A+,100,Headquarter,"40,000+"
Brunswick Corp,Lake Forest,IL,60045-4811,Lake Forest,1 N Field Ct,60045-4811,Lake,8.48E+09,8.48E+09,www.brunswick.com,Buckley,George W,CEO,Male,23225,10000+,5.23E+09,Over $1 Billion,Manufacturing,394923,Sporting & Athletic Goods Nec (Mfrs),349198,Industrial Valves (Manufacturers),349298,Fluid Power Valves/Hose Fittings (Mfrs),A+,100,Headquarter,"40,000+"
Gates Corp,Denver,CO,80217-5887,Denver,1551 Wewatta St,80202-6173,Denver,3.04E+09,3.04E+09,www.gates.com,Bell,Richard,CEO,Male,23000,10000+,0.00E+00,,Manufacturing,305202,Belting & Belting Supplies-Manufacturers,305202,Belting & Belting Supplies-Manufacturers,508548,Rubber Products-Wholesale,A+,100,Headquarter,"40,000+"
Collins & Aikman Corp,Troy,MI,48083-1117,Troy,250 Stephenson Hwy,48083-1117,Oakland,2.49E+09,2.49E+09,www.collinsaikman.com,Stockman,David A,CEO,Male,23000,10000+,3.98E+09,Over $1 Billion,Manufacturing,239698,Automotive Trimming/Apprl Findings (Mfr),221107,Fabrics-Manufacturers,222101,Textile Mills,U,55,Headquarter,"40,000+"
Advance Publications Inc,Staten Island,NY,10305-1453,Staten Island,950 W Fingerboard Rd,10305-1453,Richmond,7.19E+09,7.19E+09,www.advance.net,Newhouse Jr,Samuel I,CEO,Male,23000,10000+,5.50E+09,Over $1 Billion,Manufacturing,271101,Newspapers (Publishers),271101,Newspapers (Publishers),272198,Periodicals-Publishing & Printing,A+,100,Headquarter,"40,000+"
EMC Corp,Hopkinton,MA,01748-9103,Hopkinton,176 South St,01748-2230,Middlesex,5.08E+09,5.08E+09,www.emc.com,Tucci,Joseph M,CEO,Male,22700,10000+,8.23E+09,Over $1 Billion,Manufacturing,274121,Publishers-Computer Software,274121,Publishers-Computer Software,357101,Computers-Electronic-Manufacturers,A+,100,Headquarter,"40,000+"
New Mass Media Inc,Hartford,CT,06114-1507,Hartford,121 Wawarme Ave,06114-1507,Hartford,8.61E+09,8.61E+09,www.newmassmedia.com,Zankowski,Fran,CEO,Male,22400,10000+,0.00E+00,,Manufacturing,274105,Publishers,274105,Publishers,,,A+,100,Subsidiary,"40,000+"
Northrop Grumman Info Tech,Herndon,VA,20171-3431,Herndon,2411 Dulles Corner Park,20171-3431,Fairfax,7.04E+09,7.04E+09,www.northropgrummanit.com,O'Neill,James R,President,Male,22200,10000+,0.00E+00,,Manufacturing,381201,Aerospace Industries,381201,Aerospace Industries,874213,Marketing Programs & Services,A+,100,Subsidiary,"40,000+"
Black & Decker Corp,Baltimore,MD,21286-5502,Baltimore,701 E Joppa Rd,21286-5502,Baltimore,4.11E+09,4.11E+09,www.blackanddecker.com,Archibald,Nolan D,CEO,Male,22100,10000+,5.40E+09,Over $1 Billion,Manufacturing,354698,Power-Driven Hand Tools (Manufacturers),289198,Adhesives & Sealants (Manufacturers),342303,Tools-Hand-Manufacturers,A+,100,Headquarter,"40,000+"
Banner Health Systems,Phoenix,AZ,85002-5489,Phoenix,1441 N 12th St,85006-2887,Maricopa,6.02E+09,,www.bannerhealth.com,Fine,Peter S,CEO,Male,22000,10000+,0.00E+00,,Manufacturing,384104,Physicians & Surgeons Equip & Supls-Mfrs,384104,Physicians & Surgeons Equip & Supls-Mfrs,801101,Physicians & Surgeons,A+,98,Headquarter,"40,000+"
Mead Westvaco Corp,Stamford,CT,06905-1330,Stamford,1 High Ridge Park,06905-1330,Fairfield,2.03E+09,2.03E+09,www.meadwestvaco.com,Luke Jr,John A,CEO,Male,22000,10000+,6.17E+09,Over $1 Billion,Manufacturing,267101,Packaging Materials-Manufacturers,267101,Packaging Materials-Manufacturers,509901,Exporters,A+,100,Headquarter,"2,500 - 9,999"
Ecolab Inc,St Paul,MN,55102-1349,St Paul,370 Wabasha St N,55102-1349,Ramsey,6.51E+09,6.51E+09,www.ecolab.com,Baker Jr,Douglas M,CEO,Male,22000,10000+,4.18E+09,Over $1 Billion,Manufacturing,284298,Specialty Clng Plshng/Sanitation (Mfr),78206,Lawn & Grounds Maintenance,284101,Soaps & Detergents-Manufacturers,A+,100,Headquarter,"40,000+"
Monsanto Co,St Louis,MO,63167-0001,St Louis,800 N Lindbergh Blvd,63167-0001,St Louis City,3.15E+09,3.15E+09,www.monsanto.com,Grant,Hugh,CEO,Male,22000,10000+,6.29E+09,Over $1 Billion,Manufacturing,287907,Herbicides (Manufacturers),283398,Medicinal Chem/Botanical Prods (Mfrs),286998,Industrial Organic Chemicals Nec (Mfrs),A+,100,Headquarter,"40,000+"
Avery Dennison Corp,Pasadena,CA,91103-3534,Pasadena,150 N Orange Grove Blvd,91103-3534,Los Angeles,6.26E+09,6.27E+09,www.averydennison.com,Neal,Philip M,CEO,Male,21400,10000+,5.34E+09,Over $1 Billion,Manufacturing,275901,Paper-Adhesive/Pressure Sensitive (Mfrs),267101,Packaging Materials-Manufacturers,267201,Labels-Paper (Manufacturers),A+,100,Headquarter,"40,000+"
Swift & Co,Greeley,CO,80634-9039,Greeley,1770 Promontory Cir,80634-9039,Weld,9.70E+09,9.71E+09,www.swiftbrands.com,Rovit,Sam,CEO,Male,21100,10000+,8.38E+09,Over $1 Billion,Manufacturing,201104,Meat Products,201101,Meat Packers,874213,Marketing Programs & Services,A+,98,Subsidiary,"40,000+"
Rockwell Automation Inc,Milwaukee,WI,53202-5317,Milwaukee,777 E Wisconsin Ave # 1400,53202-5317,Milwaukee,4.14E+09,4.14E+09,www.rockwell.com,Nosbusch,Keith D,CEO,Male,21000,10000+,4.41E+09,Over $1 Billion,Manufacturing,356907,Automation Systems & Equipment-Mfrs,355502,Printing Equipment-Manufacturers,366998,Communications Equipment Nec (Mfrs),A+,100,Headquarter,"40,000+"
Emerson Process Management,St Louis,MO,63136-9011,St Louis,8000 Maryland Ave,63105-3752,St Louis,3.15E+09,3.15E+09,www.emersonprocess.com,Berra,John,President,Male,20800,10000+,4.20E+09,Over $1 Billion,Manufacturing,349198,Industrial Valves (Manufacturers),349198,Industrial Valves (Manufacturers),349498,Valves & Pipe Fittings Nec (Mfrs),A+,100,Subsidiary,"40,000+"
Tecumseh Products Co,Tecumseh,MI,49286-2098,Tecumseh,100 E Patterson St,49286-2098,Lenawee,5.17E+09,5.17E+09,www.tecumseh.com,Herrick,Todd W,CEO,Male,20700,10000+,1.91E+09,Over $1 Billion,Manufacturing,358598,Air Conditioning/Htg/Refrig Equip (Mfrs),356101,Pumps-Manufacturers,356398,Air & Gas Compressors (Manufacturers),A+,100,Headquarter,"40,000+"
Emerson Industrial Automation,Ithaca,NY,14850-5726,Ithaca,620 S Aurora St,14850-5726,Tompkins,6.07E+09,6.07E+09,www.emerson-ept.com,Montupet,Jean-Paul,Exec VP,Male,20300,10000+,3.20E+09,Over $1 Billion,Manufacturing,356898,Mechanical Power Trans Equip Nec (Mfrs),356898,Mechanical Power Trans Equip Nec (Mfrs),371401,Automobile Parts & Supplies-Mfrs,A+,100,Subsidiary,"40,000+"
Cargill Meat Solutions Corp,Wichita,KS,67201-2519,Wichita,151 N Main St,67202-1487,Sedgwick,3.16E+09,3.16E+09,www.cargill.com,Buckner,William A,CEO,Male,20000,10000+,0.00E+00,,Manufacturing,201104,Meat Products,201104,Meat Products,201304,Meat Curing Service,A+,100,Subsidiary,"40,000+"
Quebecor Printing,Dedham,MA,02026-6732,Dedham,980 Washington St # 222,02026-6732,Norfolk,7.81E+09,7.81E+09,www.quebecorworld.com,Boles,David,President,Male,20000,10000+,0.00E+00,,Manufacturing,275202,Printers,273298,Printers-Books,275998,Commercial Printing Nec,A+,100,Headquarter,"2,500 - 9,999"
Perdue Farms Inc,Salisbury,MD,21802-1537,Salisbury,31149 Old Ocean City Rd,21804-1806,Wicomico,4.11E+09,4.11E+09,www.perdue.com,Turley,Robert,CEO,Male,20000,10000+,2.50E+09,Over $1 Billion,Manufacturing,201501,Poultry Processing Plants,11698,Soybeans,19101,Farms,A+,100,Headquarter,"40,000+"
Reckitt Benckiser Inc,Parsippany,NJ,07054-0225,Parsippany,399 Interpace Pkwy,07054-1115,Morris,9.73E+09,,www.reckittbenckiser.com,Becht,Bart,CEO,Male,20000,10000+,0.00E+00,,Manufacturing,284298,Specialty Clng Plshng/Sanitation (Mfr),203598,Pickled Fruits/Vegs & Dressings (Mfrs),203702,"Frozen Fruit, Fruit Juices/Vegs (Mfrs)",A+,100,Headquarter,"40,000+"
Owens Corning Inc,Toledo,OH,43659-0001,Toledo,1 Owens Corning Pkwy,43659-0001,Lucas,4.19E+09,4.19E+09,www.owenscorning.com,Brown,David T,CEO,Male,20000,10000+,6.32E+09,Over $1 Billion,Manufacturing,243103,Building Materials-Manufacturers,243103,Building Materials-Manufacturers,282102,Fiber Glass Products-Manufacturers,C+,78,Headquarter,"40,000+"
Valero Energy Corp,San Antonio,TX,78269-6000,1 Valero Way,San Antonio,78249-1616,Bexar,2.10E+09,2.10E+09,www.valero.com,Greehey,William E,CEO,Male,19797,10000+,5.46E+10,Over $1 Billion,Manufacturing,291101,Oil Refiners (Manufacturers),291101,Oil Refiners (Manufacturers),334103,Refining,A+,100,Headquarter,"40,000+"
Springs Industries Inc,Fort Mill,SC,29716-0070,Fort Mill,205 N White St,29715-1654,York,8.04E+09,8.04E+09,www.springs.com,Close Bowles,Crandall,CEO,Female,19500,10000+,2.40E+11,Over $1 Billion,Manufacturing,239912,Textile Manufacturers,221198,Broadwoven Fabric Mills-Cotton,222101,Textile Mills,A+,98,Headquarter,"40,000+"
Tenneco Automotive Inc,Lake Forest,IL,60045-2595,Lake Forest,500 N Field Dr,60045-2595,Lake,8.47E+09,8.48E+09,www.tenneco-automotive.com,Frissora,Mark P,CEO,Male,19139,10000+,4.21E+09,Over $1 Billion,Manufacturing,371401,Automobile Parts & Supplies-Mfrs,352304,Farm Equipment-Manufacturers,371407,Mufflers & Exhaust Systems-Engine-Mfrs,A+,100,Headquarter,"40,000+"
Pulse Engineering Inc,San Diego,CA,92112-3235,San Diego,12220 World Trade Dr,92128-3797,San Diego,7.60E+09,8.59E+09,www.excelsus-tech.com,Kowalski,John,President,Male,19000,10000+,0.00E+00,,Manufacturing,369902,Electric Equipment-Manufacturers,369902,Electric Equipment-Manufacturers,399906,Assembly & Fabricating Service,A+,100,Subsidiary,"40,000+"
Guardian Industries Corp,Auburn Hills,MI,48326-1714,Auburn Hills,2300 Harmon Rd,48326-1714,Oakland,2.48E+09,2.48E+09,www.guardianautoglass.com,Davidson,William M,CEO,Male,19000,10000+,4.00E+09,Over $1 Billion,Manufacturing,321101,Glass-Manufacturers,321101,Glass-Manufacturers,323198,Glass Prod Made-Purchased Glass (Mfrs),A+,100,Headquarter,"40,000+"
Northrop Grumman Ship Systems,Pascagoula,MS,39568-0149,Pascagoula,1000 Access Rd,39567 0000,Jackson,2.29E+09,2.29E+09,www.ss.northropgrumman.com,Dur,Philip A,President,Male,19000,10000+,0.00E+00,,Manufacturing,373101,Ship Builders & Repairers,373101,Ship Builders & Repairers,874213,Marketing Programs & Services,A+,100,Subsidiary,"40,000+"
Freightliner LLC,Portland,OR,97208-3849,Portland,4747 N Channel Ave,97217-7699,Multnomah,5.04E+09,5.04E+09,www.freightliner.com,Patterson,Chris,CEO,Male,19000,10000+,0.00E+00,,Manufacturing,371109,Truck-Manufacturers,353798,Industrial Trucks Tractors/Trlrs (Mfrs),509905,Importers,A+,100,Subsidiary,"40,000+"
Knight-Ridder Inc,San Jose,CA,95113-2434,San Jose,50 W San Fernando St # 1500,95113-2434,Santa Clara,4.09E+09,4.09E+09,www.kri.com,Ridder,P Anthony,CEO,Male,18500,10000+,3.00E+09,Over $1 Billion,Manufacturing,271101,Newspapers (Publishers),271101,Newspapers (Publishers),273198,Books-Publishing & Printing,A+,100,Headquarter,"40,000+"
Alberto-Culver Co,Melrose Park,IL,60160-1163,Melrose Park,2525 Armitage Ave,60160-1163,Cook,7.08E+09,7.08E+09,www.alberto.com,Bernick,Howard B,CEO,Male,18300,10000+,3.26E+09,Over $1 Billion,Manufacturing,284406,Health & Beauty Aids-Manufacturers,284406,Health & Beauty Aids-Manufacturers,286998,Industrial Organic Chemicals Nec (Mfrs),A+,100,Headquarter,"40,000+"
Maytag Corp,Newton,IA,50208-0039,Newton,403 W 4th St N,50208-3034,Jasper,6.42E+09,6.42E+09,www.maytagcorp.com,Hake,Ralph F,CEO,Male,18000,10000+,4.72E+09,Over $1 Billion,Manufacturing,363901,Appliances-Household-Major-Manufacturers,356401,Fans-Industrial & Commercial-Mfrs,358101,Vending Machines-Manufacturers,A+,100,Headquarter,"40,000+"
Hallmark Cards Inc,Kansas City,MO,64141-6580,Kansas City,2501 Mcgee St,64108-2600,Jackson,8.16E+09,8.16E+09,www.hallmark.com,Hall Jr,Donald J,CEO,Male,18000,10000+,4.30E+09,Over $1 Billion,Manufacturing,277101,Greeting Cards-Manufacturers,267898,Stationery-Tablets/Related Prods (Mfrs),267998,Converted Paper/Paperbrd Prod Nec (Mfrs),A+,100,Headquarter,"40,000+"
Viasystems Group Inc,St Louis,MO,63105-3406,St Louis,101 S Hanley Rd # 400,63105-3406,St Louis,3.15E+09,3.15E+09,www.viasystems.com,Sindelar,David M,CEO,Male,18000,10000+,1.21E+09,Over $1 Billion,Manufacturing,367202,Circuit Boards-Manufacturers,367201,Printed & Etched Circuits-Mfrs,481302,Telecommunications Services,A+,98,Subsidiary,"10,000 - 39,999"
Temple-Inland Inc,Austin,TX,78767-0040,1300 S MO Pac Expy,Austin,78746-6907,Travis,5.12E+09,5.12E+09,www.templeinland.com,Jastrow Ii,Kenneth M,CEO,Male,18000,10000+,7.28E+11,Over $1 Billion,Manufacturing,263101,Box-Manufacturers Equip & Supplies-Mfrs,263101,Box-Manufacturers Equip & Supplies-Mfrs,503114,Building Materials-Wholesale,A+,100,Headquarter,"10,000 - 39,999"
Kohler Co,Kohler,WI,53044-1500,Kohler,444 Highland Dr,53044-1500,Sheboygan,9.20E+09,9.20E+09,www.kohler.com,Kohler Jr,Herbert V,CEO,Male,18000,10000+,3.00E+09,Over $1 Billion,Manufacturing,343201,Plumbing Fixtures & Supplies-Mfrs,308898,Plastics-Plumbing Fixtures (Mfrs),308902,Plastics & Plastic Products (Mfrs),A+,100,Headquarter,"40,000+"
Micron Technology Inc,Boise,ID,83707-0006,Boise,8000 S Federal Way,83716-7128,Ada,2.08E+09,2.08E+09,www.micron.com,Appleton,Steven R,CEO,Male,17900,10000+,4.40E+09,Over $1 Billion,Manufacturing,367401,Semiconductor Devices (Manufacturers),357701,Computer Supplies & Parts-Manufacturers,365106,Radio Supplies & Parts-Manufacturers,A+,100,Headquarter,"40,000+"
Dura Automotive Systems Inc,Rochester Hills,MI,48309-3575,Rochester Hills,2791 Research Dr,48309-3575,Oakland,2.48E+09,2.48E+09,www.duraauto.com,Johnson,S A,Director,Male,17800,10000+,2.49E+09,Over $1 Billion,Manufacturing,371401,Automobile Parts & Supplies-Mfrs,874213,Marketing Programs & Services,371413,Transmissions-Parts & Supplies-Mfrs,A+,100,Headquarter,"40,000+"
National-Oilwell Varco Inc,Houston,TX,77210-4888,10000 Richmond Ave,Houston,77042-4200,Harris,7.13E+09,7.13E+09,www.natoil.com,Miller Jr,Merrill A,CEO,Male,17781,10000+,2.32E+09,Over $1 Billion,Manufacturing,353398,Oil & Gas-Field Machinery/Equip (Mfrs),353398,Oil & Gas-Field Machinery/Equip (Mfrs),356101,Pumps-Manufacturers,A+,100,Headquarter,"40,000+"
A O Smith State Water Heaters,Ashland City,TN,37015-1234,Ashland City,500 Tennessee Waltz Pkwy,37015-1234,Cheatham,6.16E+09,6.15E+09,www.statewaterheaters.com,Rajendra,Ajita,CEO,Male,17650,10000+,2.72E+08,$100 - 500 Million,Manufacturing,363908,Water Heaters-Manufacturers,356198,Pumps & Pumping Equipment (Mfrs),599905,Water Heaters-Dealers,A+,100,Subsidiary,"40,000+"
APCOM Inc,Franklin,TN,37064-3925,Franklin,125 SE Parkway,37064-3925,Williamson,6.16E+09,6.16E+09,www.apcom-inc.com,Goodwin,Eddie,President,Male,17650,10000+,0.00E+00,,Manufacturing,382298,Automatic Cntrls-Residential/Coml (Mfrs),343298,Plumbing Fixture Fittings & Trim (Mfrs),349498,Valves & Pipe Fittings Nec (Mfrs),A+,100,Subsidiary,"40,000+"
Del Monte Foods Co,San Francisco,CA,94119-3575,San Francisco,1 Market Plz,94105-1101,San Francisco,4.15E+09,4.15E+09,www.delmonte.com,Wolford,Richard G,CEO,Male,17600,10000+,3.18E+09,Over $1 Billion,Manufacturing,209105,Foods-Canned (Manufacturers),203302,Canning (Manufacturers),509901,Exporters,A+,100,Headquarter,"40,000+"
Terex Corp,Westport,CT,06880-4431,Westport,500 Post Rd E # 320,06880-4431,Fairfield,2.03E+09,2.03E+09,www.terex.com,Defeo,Ronald M,CEO,Male,17600,10000+,6.38E+09,Over $1 Billion,Manufacturing,353104,Construction Equipment-Manufacturers,162977,Construction-Heavy,353109,Cranes-Manufacturers,A+,100,Headquarter,"40,000+"
Emerson Climate Technologies,St Louis,MO,63141-1400,Maryland Heights,11911 Adie Rd,63043-3215,St Louis,3.15E+09,3.15E+09,www.emersonclimate.com,Bettcher,Thomas E,Exec VP,Male,17600,10000+,3.00E+09,Over $1 Billion,Manufacturing,349498,Valves & Pipe Fittings Nec (Mfrs),349198,Industrial Valves (Manufacturers),358598,Air Conditioning/Htg/Refrig Equip (Mfrs),A+,100,Subsidiary,"40,000+"
Sealed Air Corp,Saddle Brook,NJ,7663,Saddle Brook,Park 80 E,07663 0000,Bergen,2.02E+09,2.02E+09,www.sealedair.com,Hickey,William V,CEO,Male,17600,10000+,3.80E+09,Over $1 Billion,Manufacturing,267101,Packaging Materials-Manufacturers,267101,Packaging Materials-Manufacturers,267401,Bags-Paper (Manufacturers),A+,100,Headquarter,"40,000+"
Sonoco Products Co,Hartsville,SC,29551-0160,Hartsville,1 N 2nd St,29550-3305,Darlington,8.43E+09,8.43E+09,www.sonoco.com,Deloach Jr,Harris E,CEO,Male,17600,10000+,3.53E+09,Over $1 Billion,Manufacturing,265503,Packaging Containers (Manufacturers),242198,Sawmills & Planing Mills-General,242698,Hardwood Dimension & Flooring Mills,A+,100,Headquarter,"40,000+"
Penn Traffic Co,Syracuse,NY,13221-4965,Syracuse,1200 State Fair Blvd,13209-1070,Onondaga,3.15E+09,3.15E+09,www.penntraffic.com,Chapman,Robert,CEO,Male,17300,10000+,2.40E+09,Over $1 Billion,Manufacturing,208601,Bottlers,202201,Cheese Processors,202498,Ice Cream & Frozen Desserts (Mfrs),A+,100,Headquarter,"40,000+"
Shaw Group Inc,Baton Rouge,LA,70809-2157,Baton Rouge,4171 Essen Ln,70809-2157,E Baton Rouge,2.26E+09,2.26E+09,www.shawgrp.com,Bernhard Jr,J M,CEO,Male,17200,10000+,3.08E+09,Over $1 Billion,Manufacturers,349803,Pipe Bending & Fabricating,331204,Steel Processing,509905,Importers,A+,100,Headquarter,"40,000+"
Hoover Co,North Canton,OH,44720-2597,North Canton,101 E Maple St,44720-2597,Stark,3.30E+09,3.31E+09,www.hoover.com,Briatico,Thomas A,President,Male,16900,10000+,0.00E+00,,Manufacturing,363501,Household Vacuum Cleaners (Mfrs),358905,Floor Machines-Manufacturers,509905,Importers,A+,100,Subsidiary,"40,000+"
Hamilton Sundstrand,Windsor Locks,CT,06096-1010,Windsor Locks,1 Hamilton Rd,06096-1010,Hartford,8.61E+09,8.61E+09,www.hamiltonsundstrandcorp.com,Hess,David,President,Male,16700,10000+,0.00E+00,,Manufacturing,372498,Aircraft Engines & Engine Parts-Mfrs,372498,Aircraft Engines & Engine Parts-Mfrs,372801,Aircraft Components-Manufacturers,A+,100,Subsidiary,"40,000+"
Precision Castparts Corp,Portland,OR,97239-4262,Portland,4650 SW Macadam Ave # 440,97239-4262,Multnomah,5.03E+09,5.03E+09,www.precast.com,Donegan,Mark,CEO,Male,16672,10000+,2.92E+09,Over $1 Billion,Manufacturing,332401,Investment Castings (Manufacturers),332401,Investment Castings (Manufacturers),336903,Castings,A+,100,Headquarter,"10,000 - 39,999"
A O Smith Corp,Milwaukee,WI,53224-9508,Milwaukee,11270 W Park Pl # 1001,53224-3623,Milwaukee,4.14E+09,4.14E+09,www.aosmith.com,O'Toole,Robert J,CEO,Male,16600,10000+,1.65E+09,Over $1 Billion,Manufacturing,362198,Motor & Generator-Manufacturers,308902,Plastics & Plastic Products (Mfrs),344304,Fabricated Plate Work-Boiler Shops,A+,100,Headquarter,"40,000+"
Washington Post Co,Washington,DC,20071-0002,Washington,1150 15th St NW,20071-0002,Dist Columbia,2.02E+09,2.02E+09,www.washingtonpost.com,Graham,Donald E,CEO,Male,16400,10000+,3.55E+09,Over $1 Billion,Manufacturing,271101,Newspapers (Publishers),271101,Newspapers (Publishers),272101,Publishers-Magazine,A+,100,Headquarter,"40,000+"
LA-Z-Boy Inc,Monroe,MI,48162-3390,Monroe,1284 N Telegraph Rd,48162-3390,Monroe,7.34E+09,,www.la-z-boy.com,Darrow,Kurt L,CEO,Male,16034,10000+,2.05E+09,Over $1 Billion,Manufacturing,251298,Wood-Household Furn-Upholstered (Mfrs),251198,Wood-Household Furn-Ex Upholstered (Mfr),251598,Mattresses/Foundations/Conv Beds (Mfrs),A+,100,Headquarter,"40,000+"
